STRUCTURE_SMILES,ActivityOutcome_CPDBAS_MultiCellCall
O=C(N(CC)N=O)OCC,carcinogenic
O=C(N(CC(C)O)N=O)NCCCl,carcinogenic
O=C(N(CC)N=O)NCCO,carcinogenic
O=C(N(CCCC)N=O)NCCCC,carcinogenic
O=C1C2=C(N=C(C=C2)C)N(C=C1C(=O)O)CC,carcinogenic
OC1=CC2=C(C=C1)OCO2,carcinogenic
O=C(CC(C)C)OCC=C,carcinogenic
[O-]\[N+](CC)=N/CC,carcinogenic
NC(CCSCC)C(=O)O,carcinogenic
O=C(N(C)C)NC1=CC=C(C=C1)Cl,carcinogenic
ClC2=C(C=CC(Cl)=C2Cl)C1=C(Cl)C(Cl)=C(Cl)C=C1,carcinogenic
O=C(NC2=C1C=C(C3=NNC(CC3)=O)C=C2)C1(C)C,carcinogenic
O=C(NC2=C(Cl)C=NC=C2Cl)C1=CC(OC3CCCC3)=C(OC)C=C1,carcinogenic
O=C1C=CC(=O)C=C1,carcinogenic
CC1=NC=CN1,carcinogenic
Cl\C2=C(/Cl)C3(Cl)C1C4CC(C1C2(Cl)C3(Cl)Cl)C5OC45,carcinogenic
S=C1NCCN1,carcinogenic
O=C(N(CCO)N=O)N,carcinogenic
O=C(N(CCCO)N=O)N,carcinogenic
O=C(N(CCCCCC)N=O)N,carcinogenic
O=C(N)C1=C(N=CN1)/N=N/N(C)C,carcinogenic
O=C(N)\C(C2=CC=CO2)=C/C1=CC=C([N+]([O-])=O)O1,carcinogenic
O=C(N(CCO)N=O)NCCCl,carcinogenic
CC1SC(SC(N1N=O)C)C,carcinogenic
[O-][N+](=O)C1=CC=C(O1)C=NN2CCNC2=O,carcinogenic
C1=C(C(=CC(=C1N)C)C)C.[H]Cl,carcinogenic
C1=C2C(=CC=C1)C=CC=C2,carcinogenic
C1=C(C=CC=C1OCC2CO2)OCC3CO3,carcinogenic
OC1=C(C=CC=C1)O,carcinogenic
C1(NNC(C)=O)=CC=CC=C1,carcinogenic
C(C1C=CC=CC=1)(=O)N(N=O)C,carcinogenic
O=C=NC1=CC(N=C=O)=CC=C1C,carcinogenic
CC(=S)N,carcinogenic
C1=COC=C1,carcinogenic
C1=CC=CC=C1C(COC(N)=O)COC(N)=O,carcinogenic
ClC1(C(C2=CC=C(C=C2)OC(C(=O)O)(C)C)C1)Cl,carcinogenic
C1=COC2=C1C=CC=C2,carcinogenic
C1=CC=CC(=C1)CCN(C)N=O,carcinogenic
C1=CC=C(C=[N+]1[O-])C2CCCN2N=O,carcinogenic
N(NC(C)=O)C1=CC=C(C=C1)CO,carcinogenic
NC(=O)Cc2c([O-])on[n+]2Cc1ccccc1,carcinogenic
C1=CC=C2C(=C1)N=C(N=C2N(CCO)CCO)C3=CC=C(S3)[N+]([O-])=O,carcinogenic
C1(N=CNN=1)N,carcinogenic
C1(=CC=C(N)C=C1)C.[H]Cl,carcinogenic
C1(=CC=C(C=C1)SC2=CC=C(C=C2)N)N,carcinogenic
C1(=CC=CC=C1)CCNN.S(O)(O)(=O)=O,carcinogenic
C1(=CC=C(NN)C=C1)C(O)=O.[H]Cl,carcinogenic
C1(=CC=C(C=C1)O)NC(C)=O,carcinogenic
O=[N+](C1=C(C(=CC(=C1)C(F)(F)F)[N+](=O)[O-])N(CCC)CCC)[O-],carcinogenic
C1(=C(C=CC=C1)N)N.[H]Cl.[H]Cl,carcinogenic
C1(=CC(=NC(=N1)C2=CC=C(O2)[N+]([O-])=O)C)C,carcinogenic
C1(=CC(=CC(=C1N)C)C)C.[H]Cl,carcinogenic
O=[Mo](=O)=O,carcinogenic
[O-][N+](C1=CC(C(OC)=CC=C4)=C4C2=C1C(C([O-])=O)=CC3=C2OCO3)=O.[Na+],carcinogenic
O=NN(C(=O)N)CCC,carcinogenic
CC(OC)(C)C,carcinogenic
C1(C2=CC=CC=C2)(C(NC(=NC1=O)[O-])=O)CC.[Na+],carcinogenic
ClC1=NC(=NC(=N1)NC(C)C)NCC,carcinogenic
C1(=CC=CN=C1)CCl.[H]Cl,carcinogenic
C1(C2=CC=C(C=C2)N)=CC=C(C=C1)N.[H]Cl.[H]Cl,carcinogenic
O=C(O[C@@H]5CC([C@@](CC5)(C)[C@]([H])3CC4)=CC[C@@]3([H])[C@@]2([H])[C@@]4(C)[C@]([C@H](C)CCCC(C)C)([H])CC2)CC1=CC=C(N(CCCl)CCCl)C=C1,carcinogenic
CC(=O)NC1=CC=C(C=C1)OCC,carcinogenic
CC(=O)N(O)C1=CC2=C(C=C1)C3=CC=CC=C3C2,carcinogenic
CC(=O)O[C@@H]3C\C4=C\C[C@@H]2[C@H](CC[C@]1(C)C(=O)CC[C@H]12)[C@@]4(C)CC3,carcinogenic
CC(=O)NN,carcinogenic
CC(=O)N,carcinogenic
CC(=C)CCl,carcinogenic
N(NC(C)=O)C(C1=CC=NC=C1)=O,carcinogenic
OC1=CC=C(C=C1)O,carcinogenic
CC(=C)CCl,carcinogenic
CC(C)(C)O,carcinogenic
CC(C(O)=O)(OC1=CC=C(C=C1)C2CCCC3=C2C=CC=C3)C,carcinogenic
ClC(CCl)Cl,carcinogenic
CC(C)C(O)(C(C)O)C(=O)OC\C1=C\CN2CC[C@@H](OC(=O)C(\C)=C\C)[C@@H]12,carcinogenic
C1(NS(=O)(=O)[O-])CCCCC1.[Na+],carcinogenic
[O-][N+](C)=O,carcinogenic
N(C(=O)N)(N=O)CC(C)=O,carcinogenic
CC(=O)OCC1=CC=CC=C1,carcinogenic
CC(=O)OC=C,carcinogenic
N(CC(C)=O)(CC=C)N=O,carcinogenic
ClCCN(C1=CC=C(C=C1)CCCC(=O)O)CCCl,carcinogenic
C12C3=C(C=CC=C3)NC1=CC=CC=2,carcinogenic
CC(Cl)CCl,carcinogenic
C1C(C2=CC=CC=C2)O1,carcinogenic
OC([C@H](CC1=CC=C(N(CCCl)CCCl)C=C1)N)=O,carcinogenic
C12C(=CC(=C(C=1O)/N=N/C3=C(C=C(C=C3)C4=CC(=C(C=C4)/N=N/C5=C(C=C6C(=C5O)C(=CC(=C6)S(=O)(=O)[O-])N)S(=O)(=O)[O-])OC)OC)S(=O)(=O)[O-])C=C(C=C2N)S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],carcinogenic
C12(C(=CC(=C(C=1/N=N/C3=C(C=C(C=C3)C)C)O)S(=O)(=O)[O-])C=C(C=C2)S(=O)(=O)[O-]).[Na+].[Na+],carcinogenic
C12C(OC3=C(N=1)C(=CC=C3C)C(N[C@@H]4C(N[C@@H](C(N5[C@@H](CCC5)C(N(CC(N([C@H](C(O[C@H]4C)=O)C(C)C)C)=O)C)=O)=O)C(C)C)=O)=O)=C(C(C(=C2C(N[C@@H]6C(N[C@@H](C(N7[C@@H](CCC7)C(N(CC(N([C@H](C(O[C@H]6C)=O)C(C)C)C)=O)C)=O)=O)C(C)C)=O)=O)N)=O)C,carcinogenic
C12C(C(=O)N(C1=O)SC(C(Cl)Cl)(Cl)Cl)C\C=C/C2,carcinogenic
O=NN(CCCCC)CCCCC,carcinogenic
C1N(COC1)N=O,carcinogenic
C2C(=O)NC(=O)CN2CC(C)N1CC(=O)NC(=O)C1,carcinogenic
C2(=O)C(C1=CC=CC=C1)(CC)C(=O)NCN2,carcinogenic
CC(O)CN(C)N=O,carcinogenic
ClC(C(C)=C2)=CC(S(=O)([O-])=O)=C2/N=N/C1=C3C(C=CC=C3)=CC=C1O.ClC(C(C)=C5)=CC(S(=O)([O-])=O)=C5/N=N/C4=C6C(C=CC=C6)=CC=C4O.[Ba+2],carcinogenic
C1C(OC(O1)C(C)I)CO,carcinogenic
C1COCCO1,carcinogenic
C1=CC=CC=C1C(O)C(N(C)N=O)C,carcinogenic
[O-][N+](C1=CC=C(C2=CSC(NC(C(F)(F)F)=O)=N2)O1)=O,carcinogenic
CC(C)CC(=O)O[C@H]1C[C@]2(COC(C)=O)[C@@]4(C)[C@H](OC(C)=O)[C@@H](O)[C@@H](O[C@@H]2/C=C1/C)[C@]34CO3,carcinogenic
NC1=NC(/C=C/C2=CC=C([N+]([O-])=O)O2)=NO1,carcinogenic
[O-][N+](C1=CN=C(NC(NCC)=O)S1)=O,carcinogenic
[O-][N+](C(N=C3)=C(SC1=NC=NC2=C1NC=N2)N3C)=O,carcinogenic
[O-][N+](=O)C1=CC=C(O1)C2=CSC(=N2)NNC=O,carcinogenic
[O-][N+](=O)C1=CC=C(O1)C2=CSC(=N2)NC=O,carcinogenic
[O-][N+](=O)N(C)C,carcinogenic
C12C3=C(C=CC=C3)CC1=CC(=CC=2)NC(C)=O,carcinogenic
ClC(=C(Cl)Cl)Cl,carcinogenic
ClC1=CC(=NC(=N1)SCC(=O)O)NC2=CC=CC(=C2C)C,carcinogenic
Brc1c(c(Br)c(Br)c(Br)c1Br)c2c(Br)cc(Br)c(Br)c2Br,carcinogenic
O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1NC(=O)N(CCCl)N=O,carcinogenic
O=S(C1=C(/N=N/C2=CC=C(C3=CC=C(\N=N/C4=C(S(=O)([O-])=O)C=C5C(C(N)=CC(S(=O)([O-])=O)=C5)=C4O)C=C3)C=C2)C(O)=C(C(N)=CC(S(=O)([O-])=O)=C6)C6=C1)([O-])=O.[Na+].[Na+].[Na+].[Na+],carcinogenic
C1(=C(C=CC=C1)N)OC.[H]Cl,carcinogenic
OC(C=C)C1=CC=C2OCOC2=C1,carcinogenic
[O-]C12[C@@H](CC[N+](C)1CC=C2COC([C@](OC(C)=O)(C)[C@@H](C)\C=C3C=C)=O)OC/3=O,carcinogenic
[O-]C(C)=O.[O-]C(C)=O.[Pb+2].[OH-].[OH-].[Pb+2].[OH-].[OH-].[Pb+2],carcinogenic
O=C1N(CC(=O)N1)/N=C/C2=CC=C(O2)[N+](=O)[O-],carcinogenic
N(N)(CC=C)CC=C,carcinogenic
[Cl-].[Cd+2].[Cl-],carcinogenic
O=C1OC(C2=C1C=CC=C2)(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,carcinogenic
N(CC(F)(F)F)(CC)N=O,carcinogenic
O=[N+](C1=CN=C(S1)N)[O-],carcinogenic
[Cl-].C/[N+](C)=C1\C=C/C(C=C1)=C(\c2ccc(cc2)N(C)C)c3ccc(cc3)N(C)C,carcinogenic
C1C(N(C(CN1N=O)C)C)C,carcinogenic
ClC(C(C1=CC=C(C=C1)Cl)C2=CC=C(C=C2)Cl)Cl,carcinogenic
[C@@H]1(NC(N(N=O)C)=O)[C@H]([C@H](O)[C@H](O[C@@H]1O)CO)O,carcinogenic
ClCCCl,carcinogenic
O=C(C(F)(F)F)NC1=CC3=C(C2=CC=CC=C2C3)C=C1,carcinogenic
[O-][N+](=O)c1ccc2c3ccccc3Cc2c1,carcinogenic
[Na+].[O-]C1=C(C=CC=C1)C2=CC=CC=C2,carcinogenic
[N+](=O)([O-])c1ccccc1C,carcinogenic
Cl[C@@]1(C(C)2C)C(Cl)(Cl)C(Cl)([C@](Cl)(C2=C)C1Cl)Cl,carcinogenic
[K+].C1(=CC=C2C(=N1)N(C=C(C2=O)C([O-])=O)C)/C=C/C3=CC=C(O3)[N+]([O-])=O,carcinogenic
[N+](=N/CCC)(/CCC)[O-],carcinogenic
[N+].C1(N(N=O)[O-])=CC=CC=C1,carcinogenic
NC(=O)OC,carcinogenic
C=CC=C,carcinogenic
C=CCl,carcinogenic
C=CCC1=CC=C2C(=C1)OCO2,carcinogenic
C=CC#N,carcinogenic
CC(CCl)OC(C)CCl,carcinogenic
C\C1=C\N(C(=O)NC1=O)[C@H]2C[C@H](/N=[N+]=[N-])[C@@H](CO)O2,carcinogenic
CC1=CC(C)=C(/N=N/C2=C(C(S([O-])(=O)=O)=CC3=C2C=CC(S([O-])(=O)=O)=C3)O)C=C1C.[Na+].[Na+],carcinogenic
C=C(Cl)Cl,carcinogenic
C1(=C(C=CC(=C1)Cl)N)C.[H]Cl,carcinogenic
ClC2(Cl)C1(Cl)C(=C)C(CCl)(CCl)C2(Cl)C(Cl)C1Cl,carcinogenic
N(C)[N+].S(=O)(=O)([O-])O,carcinogenic
C(C1=CC=C(C=C1)N)(C2=CC=C(C=C2)N)=C3C=CC(C=C3)=N.[H]Cl,carcinogenic
C1(=C(C(OCCCCCCC(C)C)=O)C=CC=C1)C(OCCCCCCC(C)C)=O,carcinogenic
C=CF,carcinogenic
C=CCN(CC=C)N=O,carcinogenic
O=C1CCO1,carcinogenic
C=O,carcinogenic
C\C(C)=C/Cl,carcinogenic
N1C2=C(N3C=1/C(=C\C=C/3)C)N=C(C=C2)N,carcinogenic
C(C1=CC=C(C=C1)N)C2=CC=C(C=C2)N.[H]Cl.[H]Cl,carcinogenic
C(CCCN(N=O)C)(O)C1C=NC=CC=1,carcinogenic
C(CC(=O)O)C(=O)O.C(OCCN(C)C)(C)(C1=CC=CC=C1)C2=CC=CC=N2,carcinogenic
O=C(C)CN(N=O)CCO,carcinogenic
O=C(N(CC(C)=O)N=O)NCCCl,carcinogenic
O[C@@H]([C@@H](O)[C@H](O)CBr)[C@@H](O)CBr,carcinogenic
C(=C/C=O)\[O-].[Na+],carcinogenic
C(/C1=CC=C(C=C1)N(CC2=CC(=CC=C2)S(=O)(=O)[O-])CC)(=C3\C=C/C(C=C3)=[N+](\CC4=CC(=CC=C4)S(=O)(=O)[O-])CC)C5=CC=CC=C5.[Na+],carcinogenic
O=C(N(CC)N=O)NCC(=O)C,carcinogenic
Cl[C@@H]1[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl,carcinogenic
O=C(N(CCCCC)N=O)N,carcinogenic
C1(NC(CN1N=O)=O)=O,carcinogenic
C(O)(=O)[O-].[K+],carcinogenic
O=C(C1=CC=CN=C1)CCCN(N=O)C,carcinogenic
C(CCl)(F)(F)F,carcinogenic
C3=CC=CC(NS(=O)(=O)C2=CC=C(N=NC1=CC=C(O)C(C(O)=O)=C1)C=C2)=N3,carcinogenic
CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],carcinogenic
CC1=CC(=C(C=C1C)N)C,carcinogenic
C=CBr,carcinogenic
CC1=C(C=CC(=C1)CC2=CC(=C(C=C2)N)C)N,carcinogenic
CC1=C(C=CC=C1)N=O,carcinogenic
CC1=CC(C4=CC(C)=C(/N=N/C5=CC=C(OS(=O)(C6=CC=C(C)C=C6)=O)C=C5)C=C4)=CC=C1/N=N/C2=C(O)C=CC3=CC(S(=O)([O-])=O)=CC(S(=O)([O-])=O)=C23.[Na+].[Na+],carcinogenic
C1=CC2=CC=CC3=CC=C4C(=C23)C1=C5C(=C4)C=CC=C5,carcinogenic
CC1CC(OC(O1)C)OC(=O)C,carcinogenic
Cl.Cl.Cl.Cc1ccc(cn1)C\C2=C\N/C(=N\C2=O)NCCSCc3ccc(CN(C)C)o3,carcinogenic
CC1=CC=CC(C)=C1,carcinogenic
CC(COC1=CC=C(C=C1)C(C)(C)C)OS(=O)OCCCl,carcinogenic
CN(N)C=O,carcinogenic
CC(OC1=CC=C(C=C1)Cl)(C(=O)OCC)C,carcinogenic
CC(CON=O)C,carcinogenic
CC(N(C1=CC=CC2=C1CC3=C2C=CC=C3)C(C)=O)=O,carcinogenic
CC/C(=C/CC)[N+](=O)[O-],carcinogenic
CCO,carcinogenic
CC1(CC(=CC(=O)C1)C)C,carcinogenic
CC/C(C2=CC=CC=C2)=C(C1=CC=CC=C1)/C(C=C3)=CC=C3OCCN(C)C.OC(C(CC(O)=O)(O)CC(O)=O)=O,carcinogenic
CC=O,carcinogenic
CCCCCNN.[H]Cl,carcinogenic
CCN1(C2C(=CC=CC=2)C3=C1C=CC(=C3)N),carcinogenic
O=C(N(CCC1=CC=CC=C1)N=O)N,carcinogenic
CCCCOP(=O)(OCCCC)OCCCC,carcinogenic
ClC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl,carcinogenic
CCNN.[H]Cl,carcinogenic
N(CC(C)O)(CCO)N=O,carcinogenic
O=S(=O)([O-])[O-].[Cd+2],carcinogenic
CC1(C(=C(CCC1)C)C=CC(=CC=CC(=CCOC(=O)C)C)C)C,carcinogenic
CCOC(=O)N(C)N=O,carcinogenic
CC1CO1,carcinogenic
CCC(COC(=O)CCCCC(=O)OCC(CCCC)CC)CCCC,carcinogenic
NC1=CC(=CC=C1OC)C,carcinogenic
CC1=CC=CC=C1,carcinogenic
CCC(C)=NO,carcinogenic
CCC1CO1,carcinogenic
CCCCC/C=N/N(C=O)C,carcinogenic
CNNCC1(=CC=C(C=C1)C(=O)NC(C)C).[H]Cl,carcinogenic
CCCC/C=N/N(C=O)C,carcinogenic
CCCC1=CC2=C(C=C1COCCOCCOCCCC)OCO2,carcinogenic
O=CNN,carcinogenic
O=C1C(O)=COC(CO)=C1,carcinogenic
CC(C/C=N/N(C=O)C)C,carcinogenic
CC(C1=C(C(=C(C(=C1[N+](=O)[O-])C)[N+](=O)[O-])C)[N+](=O)[O-])(C)C,carcinogenic
C(N)(=O)OC(C#C)(C1C=CC=CC=1)C2C=CC(=CC=2)Cl,carcinogenic
CS(=O)(=O)OC1=C(C=C(C=C1C(C)(C)C)[N+]([O-])=O)[N+](=O)[O-],non-carcinogenic
CC(C)(C)c1cc(O)ccc1O,non-carcinogenic
OC[P+](CO)(CO)CO.[O-]S([O-])(=O)=O.OC[P+](CO)(CO)CO,non-carcinogenic
NC1=CC=C(C=C1)/N=N/C2=CC=C(C=C2)N,non-carcinogenic
F[B-](F)(F)F.[Na+],non-carcinogenic
BrC1=C(OC2=C(Br)C(Br)=C(Br)C(Br)=C2Br)C(Br)=C(Br)C(Br)=C1Br,non-carcinogenic
O=NN(C)C2=NC1=CC=C(Cl)C=C1C(C3=CC=CC=C3)=[N+]([O-])C2,non-carcinogenic
CCCCCl,non-carcinogenic
[Sn+2].[Cl-].[Cl-],non-carcinogenic
[Ti+2](C1=CC=CC1)C2(=CC=CC2).[Cl-].[Cl-],non-carcinogenic
C(CO)O,non-carcinogenic
ClC1=C(C=CC=C1)Cl,non-carcinogenic
NC(=S)NC1=CC=CC=C1,non-carcinogenic
Br/C(Br)=C/[C@H]3[C@@H](C(=O)O[C@H](C#N)c2cccc(Oc1ccccc1)c2)C3(C)C,non-carcinogenic
O=NN(CCC1)C(C1)C(=O)O,non-carcinogenic
N(C([S-])=S)(CC)CC.[S-]C(N(CC)CC)=S.[Cd+2],non-carcinogenic
O=C2CC3=C(CC2)[C@]1([H])[C@](CC3)([H])[C@@](CC4)([H])[C@]([C@]4(O)C#C)(C)CC1,non-carcinogenic
C([S-])#N.[Na+],non-carcinogenic
O=CC=C(CCC=C(C)C)C,non-carcinogenic
O=CC(\Cl)=C(\Cl)C(O)=O,non-carcinogenic
O=C2CC3=C(CC2)[C@]1([H])[C@](CC3)([H])[C@@](CC4)([H])[C@]([C@]4(O)C#C)(C)CC1,non-carcinogenic
O=C1C2=C(C=CC=C2)N=NN1CSP(=S)(OC)OC,non-carcinogenic
C(/C1=C(C=C(C=C1)O)S(=O)(=O)[O-])(C2=CC=C(C=C2)N(CC3=CC(=CC=C3)S(=O)(=O)[O-])CC)=C4/C=C/C(C=C4)=[N+](\CC5=CC(=CC=C5)S(=O)(=O)[O-])CC.[Na+].[Na+],non-carcinogenic
O=C3[C@@]2(C)CC[C@]1([H])[C@](CC[C@H](OS(=O)(O)=O)C4)(C)C4=CC[C@]([H])1[C@@]([H])2CC3,non-carcinogenic
OC1=C(C=C(C=C1)CC=C)OC,non-carcinogenic
C([N+](C)(C)C)CCl.[Cl-],non-carcinogenic
O=NN(/C(=N\C#N)NCCSCC1=C(N=CN1)C)C,non-carcinogenic
O=C4[C@@]3(C)CC[C@]2([H])C1=CC=C(OS(=O)([O-])=O)C=C1CC=C2[C@@]([H])3CC4.[Na+],non-carcinogenic
CN(C)[C@@H]2/C=C\CC[C@@]2(c1ccccc1)C(=O)OCC.OC(=O)\C=C\C(O)=O,non-carcinogenic
O=CCCCC=O,non-carcinogenic
C([N+](C)(C)C)CO.[Cl-],non-carcinogenic
ClC1=C(OC(C)C(O)=O)C=CC(Cl)=C1,non-carcinogenic
O=C(C1=CC(=CC=C1O)/N=N/C2=CC=C(C=C2)C(=O)O)O,non-carcinogenic
N1(C2C(SC3=C1C=CC=C3)=CC=CC=2)CC(N(C)C)C.[H]Cl,non-carcinogenic
[O-][N+](C1=CC=CC(C2C(C(OC3CN(C(C5=CC=CC=C5)C4=CC=CC=C4)C3)=O)=C(NC(C)=C2C(OC(C)C)=O)N)=C1)=O,non-carcinogenic
[Na+].[Na+].S=C(NCCNC(=S)[S-])[S-],non-carcinogenic
O=S(=O)([O-])[O-].[V+2]=O,non-carcinogenic
ClC(C(C1=C(C=CC=C1)Cl)C2=CC=C(C=C2)Cl)Cl,non-carcinogenic
ClC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],non-carcinogenic
O=S(=O)([O-])[O-].O.O.O.O.O.O.[Ni+2],non-carcinogenic
O[Sn](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,non-carcinogenic
Cl.N#Cc1ccc(cc1)C3CCCc2cncn23,non-carcinogenic
O=S(=O)(C1=CC=C(C=C1)C)NC(=O)NN2CCCCCC2,non-carcinogenic
O=S(=O)(C1=CC=C(C=C1)C)NC(=O)NCCCC,non-carcinogenic
O=S(=O)(C1=CC=C(C=C1)Cl)OC2=CC=C(C=C2)Cl,non-carcinogenic
[O-][N+](OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O)=O,non-carcinogenic
[N+].[O-],non-carcinogenic
O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].[Al+3].[K+],non-carcinogenic
O=S(=O)(C1=CC=C(C=C1)C(=O)C)NC(=O)NC2CCCCC2,non-carcinogenic
CC(=O)[O-].[O-]C(=O)C.[Ba+2],non-carcinogenic
[Na+].[Na+].OC(=O)[C@]5(C)C[C@H]6/C7=C/C(=O)[C@H]4[C@@](C)(CC[C@@H]3[C@]4(C)CC[C@H](OC2O[C@H](C([O-])=O)[C@@H](O)[C@H](O)[C@H]2O[C@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C([O-])=O)C3(C)C)[C@]7(C)CC[C@@]6(C)CC5,non-carcinogenic
C1=C(C(=C(C=C1O)C)N(C)C)C,non-carcinogenic
O=C(C3)C(C(O)=CC(O[C@H]4[C@H](O)[C@@H](O)[C@H](O)[C@@H](CO[C@H]5[C@H](O)[C@H](O)[C@@H](O)[C@H](C)O5)O4)=C2)=C2O[C@@H]3[C@@]1=CC(OC)=C(OC)C=C1,non-carcinogenic
O=S(=O)(C1=CC(=C(C=C1Cl)Cl)Cl)C2=CC=C(C=C2)Cl,non-carcinogenic
[O-]S(S(=O)[O-])(=O)=O.[K+].[K+],non-carcinogenic
O=C1C[C@H](C\C=C1\C)C(C)=C,non-carcinogenic
O=NN1CCC[C@H]1[C@@](O)=O,non-carcinogenic
[O-]P(=O)=O.[Na+],non-carcinogenic
NC1=C(C(=NC(=N1)N)CC)C2=CC=C(C=C2)Cl,non-carcinogenic
CCN(CC)C(=O)C1=CC=CC(C)=C1,non-carcinogenic
O=P(OC(=C(C(=O)N(CC)CC)Cl)C)(OC)OC,non-carcinogenic
C12(=C(C=C(C=C1C=CC(=C2/N=N/C3=CC=CC=C3)O)S(=O)(=O)[O-])S(=O)(=O)[O-]).[Na+].[Na+],non-carcinogenic
ClC(C(C1=CC=C(C=C1)CC)C2=CC=C(C=C2)CC)Cl,non-carcinogenic
C1(=CC(=C2C(=C1)N=CC=C2)Br)Br,non-carcinogenic
NC1=CC=C(C=C1)N,non-carcinogenic
[O-][N+]1=CC=CC=C1C=C,non-carcinogenic
O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].O=P([O-])([O-])[O-].Cl[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],non-carcinogenic
C(NC)CC(OC1=CC=C(C=C1)C(F)(F)F)C2=CC=CC=C2.[H]Cl,non-carcinogenic
O=C1C=CC(=O)NN1,non-carcinogenic
S=C(N(C)C)SSC(=S)N(C)C,non-carcinogenic
C(N)(N)=O,non-carcinogenic
ClC1=C(C(=C(C(=C1Cl)Cl)Cl)Cl)C(=C(Cl)Cl)Cl,non-carcinogenic
CC(C=NOC(=O)NC)(SC)C,non-carcinogenic
NC2=CC=C(C(OC)=C2)\N=N/C1=CC=CC=C1,non-carcinogenic
O=C(C)OC/C=C(C)/CC/C=C(C)/C,non-carcinogenic
O=C1C2=C(C=CC=C2)C(=O)C(=C1Cl)Cl,non-carcinogenic
OC(C(SC(Cl)=C1)=C1S(N2C)(=O)=O)=C2C(NC3=NC=CC=C3)=O,non-carcinogenic
C(CCCCCCCC)CCCNC(N)=N.CC(=O)O,non-carcinogenic
O=C1C2=C(C=CC=C2)C(=O)C3=C1C=CC=C3,non-carcinogenic
O=C1C2=C(C=C(C=C2O)O)O/C(=C\1O)C3=CC(=C(C=C3)O)O.O.O,non-carcinogenic
C=CCO,non-carcinogenic
OCC1=C(C(=C(C(=C1)/N=N/C2=C3C=CC=CC3=C(C=C2)S(=O)(=O)[O-])O)/N=N/C4=C5C=CC=CC5=C(C=C4)S(=O)(=O)[O-])O.[Na+].[Na+],non-carcinogenic
FC(C(OC(F)F)Cl)(F)F,non-carcinogenic
C(O)(=O)[O-].[Na+],non-carcinogenic
OCCN.O=C(C1=C(C=CC(=C1)Cl)O)NC2=CC=C(C=C2Cl)[N+](=O)[O-],non-carcinogenic
O=C(OC1=CC=CC=C1)OC2=CC=CC=C2,non-carcinogenic
O=C(OCC2=CC=CC(C3=CC=CC=C3)=C2C)C1C(C)(C)C1/C=C(Cl)/C(F)(F)F,non-carcinogenic
O=C(OCC)C4=C(C=CC=C4)C(C(C=C(C)C(NCC)=C3)=C3O1)=C(C=C2C)C1=C/C2=N/CC.Cl,non-carcinogenic
C[C@H](C\C=C\C)[C@@H](O)[C@@H]1N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C(=O)[C@H](CC)NC1=O)C(C)C,non-carcinogenic
OC(COC1=CC=CC2=C1C=CC=C2)CNC(C)C.[H]Cl,non-carcinogenic
ClC1=C(C=C(C(=C1)Cl)Cl)OC(C(=O)O)C,non-carcinogenic
O[C@@H]1[C@@](O[C@@H](O[C@H](CO)[C@@H]2Cl)[C@H](O)[C@H]2O)(CCl)O[C@H](CCl)[C@H]1O,non-carcinogenic
COc3ccccc3N2CCN(CCCN\C1=C\C(=O)N(C)C(=O)N1C)CC2,non-carcinogenic
O=C1C(=C(C(=O)C(=C1Cl)Cl)Cl)Cl,non-carcinogenic
C(S)(=S)N(C)C.N(C)C,non-carcinogenic
O=C1C(C(=O)OC(=C1)C)C(=O)C,non-carcinogenic
C1(OCC=C)=CC=C(CC(=O)O)C=C1Cl,non-carcinogenic
O=C/C=C/C1=CC=CC=C1,non-carcinogenic
O=C(NCCCN(CC)CC)CN1N=CC(C3=CC=CC=C3)=C1C2=CC=CC=C2.O=C(O)/C([H])=C([H])/C(O)=O,non-carcinogenic
O=C1[C@](C(O)=C2[C@@]3([H])[C@@](O)(C)C4=C(C(O)=CC=C4)C2=O)(O)[C@]([C@H]3O)([H])[C@H](N(C)C)C(O)=C1C(N)=O.Cl,non-carcinogenic
C1N2CN3CN(C2)CN1C3,non-carcinogenic
