STRUCTURE_SMILES,ActivityOutcome_CPDBAS_Rat
O=C1C2=C(C(=CC=C2C(=O)C3=C1C=CC=C3)C)N,carcinogenic
O=C1OC2=C(C=CC=C2)C=C1,carcinogenic
O=C1O[C@@H]3CCN2C\C=C(\COC(=O)[C@](C)(O)[C@](C)(O)[C@H]1C)[C@@H]23,carcinogenic
O=C1NC(=O)NC=C1,carcinogenic
C1(=CC=C(Cl)C=C1)N.[H]Cl,carcinogenic
O=C2c1ccccc1C(=O)c3c2c(O)cc(O)c3O,carcinogenic
OC2=CC=C(C=C2)/C(CC)=C(CC)/C1=CC=C(O)C=C1,carcinogenic
O=C1CCO1,carcinogenic
C1=COC2=C1C=CC=C2,carcinogenic
N(C1=CC=CC=C1)NC2=CC=CC=C2,carcinogenic
O=C1N(C2=CC=CC=C2)N(C3=CC=CC=C3)C(=O)C1CCCC,carcinogenic
C1(=CC=CN=C1)CCl.[H]Cl,carcinogenic
O=C1N(C(=O)C2C1CC=CC2)SC(Cl)(Cl)Cl,carcinogenic
O=C1[N-]S(=O)(=O)C2=CC=CC=C12.[Na+],carcinogenic
O=C(N(CCO)N=O)N,carcinogenic
O=C(N(CCCO)N=O)N,carcinogenic
O=C(N(CCCCCC)N=O)N,carcinogenic
O=C1C(C(OCC5)=O)=C5C(C(OC)=C4)=C(C2=C4OC3C2C=CO3)O1,carcinogenic
O=C(N(CCO)N=O)NCCCl,carcinogenic
O=C(N(CCO)N=O)NCC,carcinogenic
O=C(N(CC)N=O)OCC,carcinogenic
O=C1[C@H](OC(\C(C[C@@]([H])(C)[C@](C)2O)=C/C)=O)CCN(C)C/C=C1/COC2=O,carcinogenic
O=C(N(CC)N=O)NCC(=O)C,carcinogenic
O=C(N(CCCCC)N=O)OCC,carcinogenic
O=C(N(CCCC)N=O)NCCCC,carcinogenic
O=C(N(CCCC)N=O)N,carcinogenic
O=C(OCC)C=C,carcinogenic
OS(=O)(=O)O.NN,carcinogenic
O=C(OC[C@@H](C(=O)O)N)C=[N+]=[N-],carcinogenic
O=C(N(CC)N=O)NCCO,carcinogenic
O=C=NC1=CC(N=C=O)=CC=C1C,carcinogenic
O=C/C=C/C,carcinogenic
CN(CCCCCCCCCCC)N=O,carcinogenic
O=C(NC2=C(Cl)C=NC=C2Cl)C1=CC(OC3CCCC3)=C(OC)C=C1,carcinogenic
O=C(N)C1=C(N=CN1)/N=N/N(C)C,carcinogenic
O=C(OC(COC(=O)CCCCCCC)COC(=O)CCCCCCC)CCCCCCC,carcinogenic
O=C(O2)C([C@@H](CC3)O)=C3C1=C2C4=C(O[C@@]5([H])[C@]([H])4C=CO5)C=C1OC,carcinogenic
C1=CC=C2C(=C1)NC(NC2=O)C3=CC=C(S3)[N+]([O-])=O,carcinogenic
C1(NC(CN1N=O)=O)=O,carcinogenic
CN[N+](=O)[O-],carcinogenic
C1(=C(C=CC=C1)N)N.[H]Cl.[H]Cl,carcinogenic
C1=C(C(=CC(=C1N)C)C)C.[H]Cl,carcinogenic
[Hg+2].[Cl-].[Cl-],carcinogenic
C1(C2=CC=CC=C2)(C(NC(=NC1=O)[O-])=O)CC.[Na+],carcinogenic
C1(C2=CC(=C(N)C=C2)C)(=CC(=C(N)C=C1)C).[H]Cl.[H]Cl,carcinogenic
NC1=CC=C(C=C1)OC2=CC=C(C=C2)Cl,carcinogenic
CC(N(C1=CC=CC2=C1CC3=C2C=CC=C3)C(C)=O)=O,carcinogenic
Cl.CC(=O)O[C@@H](CC)C(C[C@H](C)N(C)C)(c1ccccc1)c2ccccc2,carcinogenic
[O-][N+](=O)C1=CC=C(O1)C2=CSC(=N2)NC=O,carcinogenic
C1=CC=C2C(=C1)N=C(N=C2N(CCO)CCO)C3=CC=C(S3)[N+]([O-])=O,carcinogenic
C1=CC=C2C(=C1)N(C(\C=C/2C)(C)C)N=O,carcinogenic
C1=CC=C(C=[N+]1[O-])C2CCCN2N=O,carcinogenic
C1(/C=C(\C=C/C1=O)CCN)=[N+]=[N-].[H]Cl,carcinogenic
C1=C(CO)OC=C1,carcinogenic
ClC1(C(C2=CC=C(C=C2)OC(C(=O)O)(C)C)C1)Cl,carcinogenic
OCCOCCO,carcinogenic
C1=CC=C2C(=C1)N=C(N=C2N3CCOCC3)C4=CC=C(S4)[N+]([O-])=O,carcinogenic
O=C1NC(=S)NC=C1,carcinogenic
O\N=C1\CCCC1,carcinogenic
C1(=C(C=CC=C1)N)OC.[H]Cl,carcinogenic
C1(=C(C=CC=C1)C(OCCCC)=O)C(OCC2=CC=CC=C2)=O,carcinogenic
C1(=C(C(OCCCCCCC(C)C)=O)C=CC=C1)C(OCCCCCCC(C)C)=O,carcinogenic
C1(/N=N/C2=CC=CC=C2)=CC=CC=C1,carcinogenic
C1=C2C(=CC=C1)C=CC=C2,carcinogenic
N1=CC=CC=C1,carcinogenic
ClC(C(C)=C2)=CC(S(=O)([O-])=O)=C2/N=N/C1=C3C(C=CC=C3)=CC=C1O.ClC(C(C)=C5)=CC(S(=O)([O-])=O)=C5/N=N/C4=C6C(C=CC=C6)=CC=C4O.[Ba+2],carcinogenic
C1(C(=CC=C(C=1)C)C)N.[H]Cl,carcinogenic
C1(=NC(=NC(=N1)NC(C)=O)C2=CC=C(O2)[N+](=O)[O-])NC(C)=O,carcinogenic
C1(C)=CSC(=N1)NNC=O,carcinogenic
C1(C(N\C(=N/C1=O)[O-])=O)(CC)CC.[Na+],carcinogenic
O=C1N(C=C)CCC1,carcinogenic
C1(=CC(=NC(=N1)C2=CC=C(O2)[N+]([O-])=O)C)C,carcinogenic
OC(=O)CCCCCCCCCCN,carcinogenic
NC1=CC=C(/C=C/C2=CC(OC)=CC=C2OC)C=C1,carcinogenic
NC1(=CC=C(C=C1)C2=CC=CC=C2).[H]Cl,carcinogenic
CC(=S)N,carcinogenic
CC(=O)N(CC)CC,carcinogenic
CC1=C(C=CC=C1[N+](=O)[O-])[N+](=O)[O-],carcinogenic
CC(=O)NC1=CC=C(C=C1)C2=CC=CC=C2,carcinogenic
[O-]C12[C@@H](CC[N+](C)1CC=C2COC([C@](OC(C)=O)(C)[C@@H](C)\C=C3C=C)=O)OC/3=O,carcinogenic
CC(=C)CCl,carcinogenic
C2C(=O)NC(=O)CN2CC(C)N1CC(=O)NC(=O)C1,carcinogenic
ClCCN(C)CCCl,carcinogenic
NC2=NC(C3=CC=CC=C3)=C(CCOCC)C1=NC=NN12,carcinogenic
C3=CC=CC(NS(=O)(=O)C2=CC=C(N=NC1=CC=C(O)C(C(O)=O)=C1)C=C2)=N3,carcinogenic
Br(=O)(=O)[O-].[K+],carcinogenic
[O-][N+](C)=O,carcinogenic
C1C(C2=CC=CC=C2)O1,carcinogenic
CC(=O)OCC(=O)[C@@]53/N=C(/C)O[C@@H]5C[C@H]2[C@@H]4CC\C1=C\C(=O)\C=C/[C@]1(C)[C@H]4[C@@H](O)C[C@@]23C,carcinogenic
C=O,carcinogenic
N(CC(C)=O)(CC=C)N=O,carcinogenic
CC(=O)NC1=CC=C(C=C1)S(=O)(=O)C2=CC=C(NC(C)=O)C=C2,carcinogenic
C12C(=CC(=C(C=1O)/N=N/C3=C(C=C(C=C3)C4=CC(=C(C=C4)/N=N/C5=C(C=C6C(=C5O)C(=CC(=C6)S(=O)(=O)[O-])N)S(=O)(=O)[O-])OC)OC)S(=O)(=O)[O-])C=C(C=C2N)S(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+],carcinogenic
CC(=O)O[C@@H]3C\C4=C\C[C@@H]2[C@H](CC[C@]1(C)C(=O)CC[C@H]12)[C@@]4(C)CC3,carcinogenic
C1N(C(OC1)=O)N=O,carcinogenic
C12(C(=CC(=C(C=1/N=N/C3=C4C(=C(C=C3)S(=O)(=O)[O-])C=CC=C4)O)S(=O)(=O)[O-])C=C(C=C2)S(=O)(=O)[O-]).[Na+].[Na+].[Na+],carcinogenic
C12(C(=CC(=C(C=1/N=N/C3=C(C=C(C=C3)C)C)O)S(=O)(=O)[O-])C=C(C=C2)S(=O)(=O)[O-]).[Na+].[Na+],carcinogenic
CC1=C(C=CC(=C1)C)C,carcinogenic
O=C1C2=C(N=C(C=C2)C)N(C=C1C(=O)O)CC,carcinogenic
ClC1=CC(=NC(=N1)SCC(=O)O)NC2=CC=CC(=C2C)C,carcinogenic
C1=CC=CC=C1,carcinogenic
C1=CC=CC(=N1)N(N=O)C,carcinogenic
C1=CC2=CC=CC3=CC=C4C(=C23)C1=C5C(=C4)C=CC=C5,carcinogenic
C1=CC=CC=C1C(COC(N)=O)COC(N)=O,carcinogenic
C1CCCO1,carcinogenic
C1CCCN(O1)N=O,carcinogenic
C1COCCO1,carcinogenic
CC(=C)[C@@H]1CCC(=CC1)C,carcinogenic
C1CCC[C@@H](N1N=O)C,carcinogenic
C12C(OC3=C(N=1)C(=CC=C3C)C(N[C@@H]4C(N[C@@H](C(N5[C@@H](CCC5)C(N(CC(N([C@H](C(O[C@H]4C)=O)C(C)C)C)=O)C)=O)=O)C(C)C)=O)=O)=C(C(C(=C2C(N[C@@H]6C(N[C@@H](C(N7[C@@H](CCC7)C(N(CC(N([C@H](C(O[C@H]6C)=O)C(C)C)C)=O)C)=O)=O)C(C)C)=O)=O)N)=O)C,carcinogenic
C12C(C(=O)N(C1=O)SC(C(Cl)Cl)(Cl)Cl)C\C=C/C2,carcinogenic
C1C(OC(O1)C(C)I)CO,carcinogenic
C1C(N(C(CN1N=O)C)C)C,carcinogenic
BrC(Br)Br,carcinogenic
[O-][N+](=O)c1ccc2c3ccccc3Cc2c1,carcinogenic
O=C1C2=CC(=CC=C2C(=O)C3=C1C=CC=C3)N,carcinogenic
[O-][N+](C1=CC(C(OC)=CC=C4)=C4C2=C1C(C([O-])=O)=CC3=C2OCO3)=O.[Na+],carcinogenic
C1(NC(CN1/N=C/C2=CC=C(O2)[N+](=O)[O-])C)=O,carcinogenic
[O-][N+](=O)C1=CC=C(O1)C=NN2CCNC2=O,carcinogenic
[NH3+]C2=C(C)C=C(C3=N2)C1=C(N3)C=CC=C1.O=C([O-])C,carcinogenic
[Na+].C1(=C(C=C(C=C1)NC2=C(C=C(C=C2)[N+](=O)[O-])[N+](=O)[O-])S(=O)(=O)[O-])NC3=CC=CC=C3,carcinogenic
[O-][N+](C2=CC=C(O2)C1=CSC=N1)=O,carcinogenic
CC1(CC(=CC(=O)C1)C)C,carcinogenic
CC1=C(C=CC=C1)S(=O)(=O)N,carcinogenic
COC1=C(C=CC(=C1)C2=CC(=C(C=C2)N=C=O)OC)N=C=O,carcinogenic
CC(=O)OC=C,carcinogenic
[Se]=S,carcinogenic
[O-]\[N+](CC)=N/CC,carcinogenic
[O-][N+](C1=CN=C(NC(NCC)=O)S1)=O,carcinogenic
[O-][N+](C1=CC=C(C2=CSC(NC(C(F)(F)F)=O)=N2)O1)=O,carcinogenic
[O-]\[N+](CC)=N/C,carcinogenic
[O-][N+](C3=CC=C(O3)C1=CN=C2N1C=CC=C2)=O,carcinogenic
C(C1)N1C(=CC(=O)C=2N(C3)C3)C(=O)C=2N(C4)C4,carcinogenic
[H][C@]12N(CC=C2COC([C@@](O)(C(O)(C)C)[C@H](C)OC)=O)CC[C@@H]1OC(\C(C)=C/C)=O,carcinogenic
[Cl-].[Cd+2].[Cl-],carcinogenic
ClC/C=C/CCl,carcinogenic
[H][C@]14[C@@]([C@]3([H])CC[C@@](O)(C#C)[C@](C)3CC4)([H])CCC2=CC(O)=CC=C12,carcinogenic
C(CCCN(N=O)C)(O)C1C=NC=CC=1,carcinogenic
[C@]13([C@@](C(=O)CO)(CC[C@H]1[C@@H]2CCC=4[C@@]([C@H]2[C@H](C3)O)(\C=C/C(C=4)=O)C)O)C,carcinogenic
ClC2(Cl)C1(Cl)C(\Cl)=C(\Cl)C2(Cl)C(C1C(O)=O)C(O)=O,carcinogenic
O=NN1CCCCC1,carcinogenic
[C@]24([C@@](C(COC(=O)CCCc1ccc(cc1)N(CCCl)CCCl)=O)(CC[C@H]2[C@@H]3CCC=5[C@@]([C@H]3[C@H](C4)O)(\C=C/C(C=5)=O)C)O)C,carcinogenic
[N+](=O)([O-])c1ccccc1C,carcinogenic
[N+](=N\C(C)C)(/C(C)C)[O-],carcinogenic
O[C@@H]([C@@H](O)[C@H](O)CBr)[C@@H](O)CBr,carcinogenic
[N+](CCCl)(CCCl)(C)[O-],carcinogenic
OCC(=O)[C@@]54OC(O[C@@H]5C[C@@H]1[C@]4(C)C[C@H](O)[C@@H]2[C@@]3(C)/C=C\C(=O)\C=C3\CC[C@@H]12)CCC,carcinogenic
[K+].[I-],carcinogenic
C1(N=CNN=1)N,carcinogenic
[N+].C1(N(N=O)[O-])=CC=CC=C1,carcinogenic
[Mn+2].[S-]C(=S)NCCNC(=S)[S-],carcinogenic
ClC(CC(Cl)C(Cl)CCC(Cl)CC)C(Cl)C(Cl)CCl,carcinogenic
CCBr,carcinogenic
C1=CC=C(C(O)C)C=C1,carcinogenic
O=C(N)\C(C2=CC=CO2)=C/C1=CC=C([N+]([O-])=O)O1,carcinogenic
C\C1=C\N(C(=O)NC1=O)[C@H]2C[C@H](/N=[N+]=[N-])[C@@H](CO)O2,carcinogenic
C[N+](=NC)[O-],carcinogenic
Cl\C=C\CCl,carcinogenic
COC1C=C(C=CC=1C2NC3=CN=CC=C3N=2)S(C)=O,carcinogenic
O=C1C2=C(C=C(C=C2O)O)OC(=C1O)C3=CC(=C(C=C3)O)O,carcinogenic
C[As](C)(C)=O,carcinogenic
C=CCl,carcinogenic
C=CCC1=CC=C2C(=C1)OCO2,carcinogenic
C=CF,carcinogenic
C=CCN(CC=C)N=O,carcinogenic
NNC1=NC(C2=CC=C([N+]([O-])=O)C=C2)=CS1,carcinogenic
O=NN(C)CCOS(C1=CC=C(C)C=C1)(=O)=O,carcinogenic
C1=CC(=CC=C1N(N=O)C)F,carcinogenic
C=CC=C,carcinogenic
C=CC#N,carcinogenic
C(N)(=O)OC(C#C)(C1C=CC=CC=1)C2C=CC(=CC=2)Cl,carcinogenic
C(/C1=CC=C(C=C1)N(CC2=CC(=CC=C2)S(=O)(=O)[O-])CC)(=C3\C=C/C(C=C3)=[N+](/CC4=CC(=CC=C4)S(=O)(=O)[O-])CC)C5=CC=C(C=C5)N(C)C.[Na+],carcinogenic
C(/C)(C)=N\NC1=NC=C(S1)C2=CC=C(O2)[N+](=O)[O-],carcinogenic
C(=C/C=O)\[O-].[Na+],carcinogenic
C(/C1=CC=C(C=C1)N(CC2=CC(=CC=C2)S(=O)(=O)[O-])CC)(=C3\C=C/C(C=C3)=[N+](\CC4=CC(=CC=C4)S(=O)(=O)[O-])CC)C5=CC=CC=C5.[Na+],carcinogenic
C([O-])(C)=O.[Pb+2].[O-]C(C)=O,carcinogenic
CNNCC1(=CC=C(C=C1)C(=O)NC(C)C).[H]Cl,carcinogenic
BrC1=C(OC2=C(Br)C(Br)=C(Br)C(Br)=C2Br)C(Br)=C(Br)C(Br)=C1Br,carcinogenic
C1CCN(CN1N=O)N=O,carcinogenic
ClC(Cl)Br,carcinogenic
CC/C(=C/CC)[N+](=O)[O-],carcinogenic
CC1=C(C=CC=C1)N=O,carcinogenic
C(CCl)(F)(F)F,carcinogenic
C(CC(=O)O)C(=O)O.C(OCCN(C)C)(C)(C1=CC=CC=C1)C2=CC=CC=N2,carcinogenic
O=NN(CCC)CCC,carcinogenic
C(C1=CC=C(C=C1)N)(C2=CC=C(C=C2)N)=C3C=CC(C=C3)=N.[H]Cl,carcinogenic
ClC1=C(C=CC(=C1)Cl)OC2=CC=C(C=C2)[N+](=O)[O-],carcinogenic
OC1=C(C=CC=C1)C2=CC=CC=C2,carcinogenic
CC(OC1=CC=C(C=C1)Cl)(C(=O)OCC)C,carcinogenic
CC(OC)(C)C,carcinogenic
NC(=O)Cc2c([O-])on[n+]2Cc1ccccc1,carcinogenic
[H][C@]12C3=CCN1CC[C@H]2OC(/C(CC([C@@](CO)(O)C(OC3)=O)=C)=C\C)=O,carcinogenic
CC1(C(=C(CCC1)C)C=CC(=CC=CC(=CCOC(=O)C)C)C)C,carcinogenic
CC=O,carcinogenic
N/1C(N(\C=C\1)C)=S,carcinogenic
CC/C(C2=CC=CC=C2)=C(C1=CC=CC=C1)/C(C=C3)=CC=C3OCCN(C)C.OC(C(CC(O)=O)(O)CC(O)=O)=O,carcinogenic
OC(=O)C(Cl)Cl,carcinogenic
CC(C)OC1=CC=CC=C1OC(=O)N(C)N=O,carcinogenic
[C@@H]1(NC(N(N=O)C)=O)[C@H]([C@H](O)[C@H](O[C@@H]1O)CO)O,carcinogenic
FCC(F)(F)F,carcinogenic
CC(CON=O)C,carcinogenic
[O-][N+](C1=CC=C(C2=CSC(NC(C)=O)=N2)O1)=O,carcinogenic
CC(Cl)(Cl)F,carcinogenic
CC1=C2C3=C(C=C4C(=C3CC2)C=CC5=CC=CC=C45)C=C1,carcinogenic
CC1=C2C(=CO[C@H]([C@@H]2C)C)C(=C(C1=O)C(=O)O)O,carcinogenic
CC1=C(C2=C(C=CC(=C2)OC)N1C(=O)C3=CC=C(C=C3)Cl)CC(=O)O,carcinogenic
CC1=C(C=C(C=C1)C)OCCCC(C(=O)O)(C)C,carcinogenic
O=C(O[C@@H]5CC([C@@](CC5)(C)[C@]([H])3CC4)=CC[C@@]3([H])[C@@]2([H])[C@@]4(C)[C@]([C@H](C)CCCC(C)C)([H])CC2)CC1=CC=C(N(CCCl)CCCl)C=C1,carcinogenic
CC1=CC(C4=CC(C)=C(/N=N/C5=CC=C(OS(=O)(C6=CC=C(C)C=C6)=O)C=C5)C=C4)=CC=C1/N=N/C2=C(O)C=CC3=CC(S(=O)([O-])=O)=CC(S(=O)([O-])=O)=C23.[Na+].[Na+],carcinogenic
CC1=CC(C)=C(/N=N/C2=C(C(S([O-])(=O)=O)=CC3=C2C=CC(S([O-])(=O)=O)=C3)O)C=C1C.[Na+].[Na+],carcinogenic
O=[N+](C1=CC(=C(C=C1)OC)N)[O-],carcinogenic
[O-][N+](=O)N(C)C,carcinogenic
CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],carcinogenic
CC1CC(OC(O1)C)OC(=O)C,carcinogenic
CC(=NO)C,carcinogenic
C(C1C=CC=CC=1)(=O)N(N=O)C,carcinogenic
CC1=C(C=CC=C1)/N=N/C2=CC(=C(C=C2)N)C,carcinogenic
CC1=C(C=CC(=C1)CC2=CC(=C(C=C2)N)C)N,carcinogenic
CC(C)(C)NCC(O)C1=CC(O)=CC(=C1)O,carcinogenic
CC(C(O)=O)(OC1=CC=C(C=C1)C2CCCC3=C2C=CC=C3)C,carcinogenic
C(C1=CC=C(C=C1)N)C2=CC=C(C=C2)N.[H]Cl.[H]Cl,carcinogenic
O=CC1=CC=CC=C1,non-carcinogenic
O=C4[C@@]3(C)CC[C@]2([H])C1=CC=C(OS(=O)([O-])=O)C=C1CC=C2[C@@]([H])3CC4.[Na+],non-carcinogenic
C(C\C=C/CCCCCCCC)CCCCCC(=O)[O-].[Na+],non-carcinogenic
O=[N+](CCC)[O-],non-carcinogenic
C1(C(=CC=C(C=1)N)O)N.[H]Cl.[H]Cl,non-carcinogenic
[Na+].[O-]Cl=O,non-carcinogenic
O=C2C1=C(N=CN2)N([C@@H]3O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]3O)C=N1.[Na+].[Na+],non-carcinogenic
C1(=CC=C(N)C=C1)OC.[H]Cl,non-carcinogenic
O=C2NC(/N)=N\CN2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,non-carcinogenic
CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],non-carcinogenic
C=CC(OCC)OCC,non-carcinogenic
ClC1=CC(Cl)=C(/C(OP(=O)(OC)OC)=C/Cl)C=C1Cl,non-carcinogenic
Cl.CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N2Cc3ccccc3C[C@H]2C(O)=O,non-carcinogenic
Cl.CC3CCCC(C)N3CCCC(O)(c1ccccc1)c2ccccn2,non-carcinogenic
O=[Ti]=O,non-carcinogenic
[Ni],non-carcinogenic
CN(C)CCN(CC1=CC=CO1)C2=CC=CC=N2,non-carcinogenic
Cl.CN(C)[C@@H]2C(\O)=C(\C(N)=O)C(=O)[C@@]3(O)C(/O)=C4/C(=O)c1c(cccc1O)[C@@](C)(O)[C@H]4C[C@@H]23,non-carcinogenic
O=CNNC1=NC(C2=CC=CO2)=CS1,non-carcinogenic
CC1(C(=O)NC(=O)O1)C,non-carcinogenic
S=P(OC1=CC(=C(C=C1)SC)C)(OC)OC,non-carcinogenic
C(C1C=CC(=CC=1)O)(C2=CC=C(C=C2)O)(C)C,non-carcinogenic
O=C1N(CCC1)C,non-carcinogenic
OC(=O)C1=C(C=CC=C1)OC(=O)C,non-carcinogenic
O=C1N(C2=CC=C(C=C2C(=NC1)C3=CC=CC=C3)Cl)CC4CC4,non-carcinogenic
O=C1N(C(=O)C2=C1C=CC=C2)SC(Cl)(Cl)Cl,non-carcinogenic
OC2=CC1=C(C(O)=C2)C(C(O[C@@H]4O[C@@H]([C@H]([C@H](O)[C@H]4O)O)CO[C@H]3[C@H](O)[C@H](O)[C@H]([C@H](C)O3)O)=C(C5=CC(O)=C(C=C5)O)O1)=O.O=S(O)(O)=O,non-carcinogenic
O=[N+]([O-])[O-].[Na+],non-carcinogenic
CN(C)CCN(CC1=CC=CS1)C2=CC=CC=C2,non-carcinogenic
C12(=C(C=C(C=C1C=CC(=C2/N=N/C3=CC=CC=C3)O)S(=O)(=O)[O-])S(=O)(=O)[O-]).[Na+].[Na+],non-carcinogenic
C3(S(N)(=O)=O)=CC=C(N2N=C(C(F)(F)F)C=C2C1=CC=C(C)C=C1)C=C3,non-carcinogenic
O=[N+](C1=CC(=C(C=C1)C)N)[O-],non-carcinogenic
O=C2C=1/N=C\NC=1N(C)C(=O)N2C,non-carcinogenic
N1C2=C(C=CC=C2)N=N1,non-carcinogenic
OC(=O)\C=C/C(O)=O.C(C(C1CCCCC1)C2CCCCC2)C3CCCCN3,non-carcinogenic
C1(=C(C=CC(=C1)[C@H](CN[C@@H](CCC2=CC=CC=C2)C)O)O)C(N)=O.[H]Cl,non-carcinogenic
C(C1=CC=CC=C1)(C2CCCCN2)C(OC)=O.[H]Cl,non-carcinogenic
O=C1OC(=O)CC1,non-carcinogenic
Cl[C@@H]1[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl,non-carcinogenic
NC1=C(C=C(C=C1Cl)Cl)Cl,non-carcinogenic
CC(=O)NC1=C2CC3=CC=CC=C3C2=CC=C1,non-carcinogenic
[O-]P(=O)=O.[Na+],non-carcinogenic
[O-]C1=C(I)C=C(C(C2=C(C([O-])=O)C=CC=C2)=C3C=C(C(C(I)=C3O4)=O)I)C4=C1I.[Na+].[Na+],non-carcinogenic
O=P(OC2=CC=C(C)C=C2)(OC3=CC=C(C)C=C3)OC1=CC=C(C)C=C1,non-carcinogenic
CC1=C(C=CC(=C1)O)O,non-carcinogenic
[Sn+2].[Cl-].[Cl-],non-carcinogenic
BrC1=C(OC2=C(Br)C(Br)=C(Br)C(Br)=C2Br)C(Br)=C(Br)C(Br)=C1Br,non-carcinogenic
CCN(CC)CCOC1=CC=C(C=C1)[C](O)(CC2=CC=C(OC)C=C2)C3=CC=CC=C3,non-carcinogenic
ClC1=C(C=CC(=C1)Cl)O,non-carcinogenic
ClCl,non-carcinogenic
O=C1c2c(O)cc(C)cc2C(=O)c3cc(O)cc(O)c13,non-carcinogenic
O=S(=O)([O-])[O-].O.[Mn+2],non-carcinogenic
O=S(=O)(C1=C(C=CC=C1)/C(=C2\C=C/C(=[N+](/CC3=CC(=CC=C3)S(=O)(=O)[O-])CC)C=C2)C4=CC=C(C=C4)N(CC5=CC(=CC=C5)S(=O)(=O)[O-])CC)[O-].[Na+].[Na+],non-carcinogenic
CN(C=O)C,non-carcinogenic
O=S(=O)([O-])[O-].[V+2]=O,non-carcinogenic
[O-]C([C@H]([C@H](O)CO)O1)=C(O)C1=O.[Na+],non-carcinogenic
OC(=O)C=CC=CC,non-carcinogenic
Cl.N#Cc1ccc(cc1)C3CCCc2cncn23,non-carcinogenic
O=S(\N=C(NCCSCC2=CC=C(CNC)O2)/NCC(C1=CC=C(O)C=C1)O)(C)=O,non-carcinogenic
C([N+](C)(C)C)CCl.[Cl-],non-carcinogenic
O=NN(CCC1)C(C1)C(=O)O,non-carcinogenic
C(CC([O-])=O)(CC(O)=O)(C([O-])=O)O.[N+].[N+],non-carcinogenic
Cl,non-carcinogenic
[Na+].[As](=O)[O-],non-carcinogenic
Cl.CC(C)(C)NCC(O)CO/C1=C/N(C)C(=O)c2ccccc12,non-carcinogenic
C([S-])#N.[Na+],non-carcinogenic
C([N+](C)(C)C)CO.[Cl-],non-carcinogenic
C1=CC=C(NC(=O)C(/N=N/C2=C(Cl)C=C(C3=CC(Cl)=C(/N=N/C(C(=O)NC4=CC=CC=C4)C(=O)C)C=C3)C=C2)C(=O)C)C=C1,non-carcinogenic
O[C@@H]8[C@@H](O)[C@@H]1O[C@H](CO)[C@H]8O[C@H]7O[C@H](CO)[C@@H](O[C@H]6O[C@H](CO)[C@@H](O[C@H]5O[C@H](CO)[C@@H](O[C@H]4O[C@H](CO)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O1)[C@H](O)[C@H]2O)[C@H](O)[C@H]3O)[C@H](O)[C@H]4O)[C@H](O)[C@H]5O)[C,non-carcinogenic
O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].[Al+3].[K+],non-carcinogenic
ClCCN(CCCl)C1=CC=C(CC(OC3=CC=C(C4=C3)[C@]2([H])[C@](CC4)([H])[C@@](CC[C@@H]5OC(CC6=CC=C(N(CCCl)CCCl)C=C6)=O)([H])[C@]5(C)CC2)=O)C=C1,non-carcinogenic
NC1=C(C=CC(=C1)NC(=O)C)OCC,non-carcinogenic
Br/C(Br)=C/[C@H]3[C@@H](C(=O)O[C@H](C#N)c2cccc(Oc1ccccc1)c2)C3(C)C,non-carcinogenic
O=NN1CCC[C@H]1[C@@](O)=O,non-carcinogenic
BrC1=C(Br)C(Br)=CC(C2=CC=C(Br)C(Br)=C2Br)=C1,non-carcinogenic
C12=CC(=CC(=C1C3=C(C(O2)=O)C(CC3)=O)OC)OC,non-carcinogenic
CC=NO,non-carcinogenic
NC1=CC=C(C=C1)Cl,non-carcinogenic
C=C(Cl)C=C,non-carcinogenic
.[Cl-].[Fe+3].[Cl-].[Cl-],non-carcinogenic
O=C(C(C1=CC=CC=C1)CC)NC(=O)N,non-carcinogenic
O=C(O[C@@H]1[C@@](O[C@@H](O[C@H](COC(C)=O)[C@H]2OC(C(C)C)=O)[C@H](OC(C(C)C)=O)[C@H]2OC(C(C)C)=O)(COC(C)=O)O[C@H](COC(C(C)C)=O)[C@H]1OC(C(C)C)=O)C(C)C,non-carcinogenic
O=C(O)CC[C@@H](C)[C@]3([H])[C@](CC2)(C)[C@](CC3)([H])[C@@](CC4)([H])[C@@]2([H])[C@]1(C)[C@@]4([H])C[C@H](O)CC1,non-carcinogenic
OC(CO)CCl,non-carcinogenic
CC1(C(=O)N(C)C(=O)O1)C,non-carcinogenic
O=C(O)\C=C/C(O)=O.O=C(NC3CC(N4C)CCC4C3)C1=C2C(CC(C)(C)O2)=CC(Cl)=C1,non-carcinogenic
O=C(O)[C@H](CS)N.Cl,non-carcinogenic
C[N+](CCCCCCCCCCCC)(C)[O-],non-carcinogenic
O=C(CC1=CC=C(C=C1)OC(=O)C2=CC=C(C=C2)NC(=N)N)OCC(=O)N(C)C.O=S(=O)(C)O,non-carcinogenic
