SMILES,-log10(LC50[mol/L])
CCCCCC=O,4.039
CCCCCCCC,5.470
CCCCCCCCCC,5.299
CCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCC,6.194
CCCCNC(=S)NCCCC,3.520
CCCCOP(=O)(OCCCC)OCCCC,4.862
CCCCSP(=O)(SCCCC)SCCCC,7.676
CCCN(C(=O)n1cncc1)CCOc1c(Cl)cc(cc1Cl)Cl,4.943
CCCN(c1c(cc(cc1[N+](=O)[O-])C(C)C)[N+](=O)[O-])CCC,7.012
CCN(C(=O)SCc1ccc(cc1)Cl)CC,5.548
CCN(C(=O)c1cccc(c1)C)CC,3.078
CCN(C(=S)SSC(=S)N(CC)CC)CC,5.976
CCNC(=S)N,3.936
CCNCC,3.118
CCNc1ccccc1,5.460
CCNc1nc(NC(C)C)nc(n1)Cl,3.601
CCNc1nc(NCC)nc(n1)SC,3.630
CCOC(=O)C,2.090
CCOP(=O)(N1CCSC1=O)SC(CC)C,5.762
CCOP(=O)(OC(=CCl)c1ccc(cc1Cl)Cl)OCC,6.560
CCOP(=O)(Oc1ccc(c(c1)C)SC)NC(C)C,8.113
CCOP(=S)(OP(=S)(OCC)OCC)OCC,9.150
CCc1ccccc1,4.502
CN(C(=N)N=C(N)N)C,1.983
CN(CC/C=C/1\c2ccccc2CCc2c1cccc2)C,5.551
CN=C=S,5.418
CNC,2.958
CNC(=O)ON=C(SC)C,6.964
CNC(=O)Oc1ccccc1OC(C)C,4.910
CNC(=S)NC,3.825
CNCCC(c1ccccc1)Oc1ccc(cc1)C(F)(F)F,5.783
CO/C=C(\c1ccccc1Oc1ncnc(c1)Oc1ccccc1C#N)/C(=O)OC,6.389
COC(=O)C1=C(C)NC(=C(C1c1ccccc1[N+](=O)[O-])C(=O)OCC(C)C)C,4.071
COC(=O)Nc1nc2c([nH]1)cccc2,6.119
COC1=CC(=O)CC(C21Oc1c(C2=O)c(OC)cc(c1Cl)OC)C,2.506
COP(=O)(OC=C(Cl)Cl)OC,9.099
COP(=S)(SCN1C(=O)c2c(C1=O)cccc2)OC,5.600
COc1cc2c(cc1OC)OCC1C2C(=O)c2c(O1)c1CC(Oc1cc2)C(=C)C,8.028
COc1ccc(cc1)C(C(Cl)(Cl)Cl)c1ccc(cc1)OC,7.087
COc1ccc2c(c1)ccc(c2)C(C(=O)O)C,3.794
CS(=O)C,0.495
C[n+]1ccc(cc1)c1cc[n+](cc1)C,4.823
Cc1c2ccccc2cc2c1cccc2,6.190
Cc1cc(C)cc(c1)C,4.300
Cc1ccc(cc1)[N+](=O)[O-],4.010
Cc1cccc(c1O)C,4.038
Cc1ccccc1,3.002
Cc1ccccc1N,5.312
ClC1C2C(C3C1(Cl)O3)C1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,5.513
ClCC(Cl)Cl,3.492
ClCCCCl,2.608
ClCCOCCCl,2.778
ClCCl,2.659
ClC1C(Cl)C(Cl)C(C(C1Cl)Cl)Cl,5.389
Clc1c(N)cc(c(c1Cl)Cl)Cl,5.559
Clc1c(O)cc(c(c1Cl)Cl)Cl,5.760
Clc1cc(Cl)c(c(c1Cl)O)Cl,5.610
Clc1cc(Cl)c(cc1C)Cl,5.550
Clc1ccc(c(c1)[N+](=O)[O-])Cl,4.251
Clc1ccc(c(c1)c1cc(Cl)c(cc1Cl)Cl)Cl,7.509
Clc1ccc(c(c1)c1ccccc1Cl)Cl,6.670
Clc1ccc(cc1)CCC(C(C)(C)C)(Cn1cncn1)O,5.020
Clc1ccc2c(c1)C(=NCC(=O)N2C)c1ccccc1,4.821
Clc1ccccc1c1ccccc1,5.422
N#Cc1c(Cl)c(C#N)c(c(c1Cl)Cl)Cl,6.210
NC(=O)N/N=C/c1ccc(o1)[N+](=O)[O-],3.839
Nc1ccc(c(c1)Cl)Cl,5.437
Nc1ccc(cc1Cl)c1ccc(c(c1)Cl)N,5.381
Nc1cccc(c1)Cl,6.108
Nc1ccccc1Cl,5.190
NC1=NC(=S)c2nc[nH]c2N1,4.006
O/C=C\1/CC2(C)C(CC1=O)CCC1C2CCC2(C1CCC2(C)O)C,4.535
O=C(C1C(C1(C)C)C=C1CCCC1)OCc1coc(c1)Cc1ccccc1,8.164
O=C1CCCN1C,4.906
O=C1CN=C(c2c(N1)ccc(c2)[N+](=O)[O-])c1ccccc1Cl,4.022
O=C1NCC(O1)COc1cc(C)cc(c1)C,3.470
O=Cc1ccccc1O,4.462
OC(=O)/C=C\C(=O)O,2.764
OC(=O)C(Oc1ccc(cc1)Cl)(C)C,3.474
OC(=O)CN(CC(=O)O)CCN(CC(=O)O)CC(=O)O,3.103
OC(=O)CNCP(=O)(O)O,3.908
OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,4.121
OCCCl,2.579
OCCN(C)C,2.959
OCCOCCOCCO,0.460
Oc1c(Cl)cc(c(c1Cl)Cl)Cl,6.110
Oc1cc(Cl)c(c(c1)Cl)Cl,5.461
S=C(Nc1ccccc1)Nc1ccccc1,3.531
S=C1SSC2=NCCN12,5.922
[O-][N+](=O)c1ccccc1Cl,3.640
c1cc2ccc3c4c2c(c1)ccc4ccc3,6.173
c1ccc(cc1)NNc1ccccc1,4.651
c1ccc2c(c1)Oc1c(C2)cccc1,3.953
c1ccc2c(c1)cc1c(c2)ccc2c1cccc2,6.219
c1ccc2c(c1)oc1c2cccc1,4.995
c1ccccc1,2.480
